id_publication;id_year
reference/crypt/RichiardiK11;id_2011
reference/crypt/X11aq;id_2011
reference/crypt/X11ne;id_2011
reference/crypt/JoyeO11;id_2011
reference/crypt/Bauer05d;id_2005
reference/crypt/X11as;id_2011
reference/crypt/Black11;id_2011
reference/crypt/Preneel05m;id_2005
reference/crypt/X11ld;id_2011
reference/crypt/X11fs;id_2011
reference/crypt/Thornton11;id_2011
reference/crypt/Soete11c;id_2011
reference/crypt/Pedersen05c;id_2005
reference/crypt/Subramanian11;id_2011
reference/crypt/Bleumer05h;id_2005
reference/crypt/X11gb;id_2011
reference/crypt/X11lg;id_2011
reference/crypt/Soete11h;id_2011
reference/crypt/Bucci11;id_2011
reference/crypt/X11ks;id_2011
reference/crypt/Desmedt05g;id_2005
reference/crypt/Bleumer11l;id_2011
reference/crypt/2005;id_2005
reference/crypt/Moller11c;id_2011
reference/crypt/Schoenmakers11g;id_2011
reference/crypt/Stiglic11f;id_2011
reference/crypt/2011;id_2011
reference/crypt/Nguyen11b;id_2011
reference/crypt/X11kt;id_2011
reference/crypt/PetitQ11;id_2011
reference/crypt/X11nr;id_2011
reference/crypt/Bleumer05x;id_2005
reference/crypt/Kaliski11v;id_2011
reference/crypt/X11hi;id_2011
reference/crypt/Zuccherato11;id_2011
reference/crypt/Vadhan11;id_2011
reference/crypt/Kaliski11l;id_2011
reference/crypt/X11ib;id_2011
reference/crypt/Vauclair11d;id_2011
reference/crypt/HankersonM11i;id_2011
reference/crypt/X11he;id_2011
reference/crypt/Caddy05d;id_2005
reference/crypt/X11ah;id_2011
reference/crypt/X11du;id_2011
reference/crypt/X11ec;id_2011
reference/crypt/Sion11;id_2011
reference/crypt/Dodis05;id_2005
reference/crypt/X11fq;id_2011
reference/crypt/Adams05b;id_2005
reference/crypt/X11fd;id_2011
reference/crypt/X11ep;id_2011
reference/crypt/Wang11a;id_2011
reference/crypt/Gabidulin11;id_2011
reference/crypt/Canteaut11g;id_2011
reference/crypt/Thome11a;id_2011
reference/crypt/X11na;id_2011
reference/crypt/X11ky;id_2011
reference/crypt/Pedersen11c;id_2011
reference/crypt/Sako05c;id_2005
reference/crypt/X11eb;id_2011
reference/crypt/Desmedt05c;id_2005
