author;nbr_publication
Damian T. Murphy;13
Surojit Dey;3
Martin Guay;63
Katy Scott;2
Ilaria Mariani;8
Andrea Sanna;16
Vicki Lau;3
Juliana Aida Abu Bakar;2
Damianos Gavalas;35
Setsuko Ishii;2
Mark H. M. Winands;57
Isabel Cristina Siqueira da Silva;4
Kunihito Hoki;5
Mehmet Ilker Berkman;4
Ecehan Akan;2
Carol Luckhardt Redfield;3
Tsung-Chih Tsai;3
Jouni Ikonen;16
Emanuele Carlini;9
Hiroshi Yoshikawa;7
Tim McGraw;12
Risto Miikkulainen;260
Anna E. Yankovskaya;4
Cansu Nur Simsek;2
Zhidong Xiao;6
Yingjie Chen;7
Géraldine Morin;15
Ahmet Uysal;5
Jule Hildmann;3
Marlene Palafox;2
Diogo Cocharro;2
Evren Bozgeyikli;4
Mehmet Kosa;3
Christos-Nikolaos Anagnostopoulos;31
Lizhuang Ma;111
Kelvin Sung;18
Arindam Chaudhuri;21
Digdem Sezen;6
Roberto Dillon;4
Paulo Zaffari;2
Nicusor Nedelcu;3
José Karam-Filho;2
Tho L. Nguyen;2
Sabrina Culyba;2
Adam Dubrowski;42
Kyung-Joong Kim;38
Tariq Alrimawi;2
Jin Huang;26
Mike Preuss;58
Chris North;90
Jaci Lee Lederman;2
Ali Adjorlu;2
Bruce H. Thomas;125
Richard M. Levy;5
Masasuke Yasumoto;2
Silvia Mirri;17
Daniel Thalmann;396
Anthony Lewis Brooks;31
Song Shuli Lily;2
Sergio Rodríguez Valdunciel;2
Sébastien Deguy;2
Yingjie Victor Chen;21
Adalberto L. Simeone;7
Eric Hodgson;5
Ferdinand Schober;2
Jon Ram Bruun-Pedersen;4
Judd Ethan Ruggill;2
Wil M. P. van der Aalst;518
Nijaz Bajgoric;12
Keith W. Miller;71
K. C. Hui;15
João Marques-Silva 0001;132
Jeffrey J. P. Tsai;92
Min Chen 0001;82
Ann Nowé;179
Peter J. Denning;175
Stéphane Lafortune;117
Jeremy R. Cooperstock;107
Milan D. Mihajlovic;7
Annie Combelles;2
Michal Batko;6
Hujun Bao;147
Chih-Hung Wu;26
Na Helian;16
Harry Chia-Hung Hsu;2
David Cope;12
Zita A. Vale;119
Richard De Lisi;2
Wenyi Zhao;3
Ning Zhong 0001;175
Amrit L. Goel;25
Jack J. Stiffler;13
Manuel Valencia-Barrero;16
Indranil Gupta;73
Krishna M. Kavi;32
John Paul Loucky;4
Oliver Yu;6
Bran Selic;98
Issam W. Damaj;35
Farn Wang;59
Mark Allen Weiss;38
Kwok Ching Tsui;8
George Xylomenos;32
Swapna S. Gokhale;71
Sumanta N. Pattanaik;41
Bernhard Scholz;58
Thomas Hollstein;15
Xingquan Zhu;95
Tatsuya Suda;107
Daniel Solow;9
Angela C. Sodan;22
Xiuju Fu;8
Clyde W. Holsapple;44
Cyril S. Ku;4
Theo D'Hondt;91
Paola Spoletini;49
Steven H. Low;149
Walter F. Tichy;151
Klaus-Jürgen Bathe;6
J. Barrie Thompson;38
Yonghuai Liu;37
Aleksandar Milenkovic;43
Torleiv Kløve;81
Robert J. Schalkoff;20
Yi-Bing Lin;162
John Linn;21
Oscar Castillo 0001;305
Jau-Hwang Wang;3
Lusheng Wang;34
Zili Zhang;69
Eric Y. T. Juan;8
Joan Krone;8
Simon Maskell;39
Abdullah Uz Tansel;19
Hai He;3
Gábor Horváth 0001;22
Frederick W. B. Li;24
William D. Reynolds Jr.;3
Radu Prodan;73
Adam M. Johansen;3
Olaf Chitil;22
Yi-Min Wang;40
Anthony A. Maciejewski;59
Gianpiero Cattaneo;9
Lutz M. Kolbe;99
David J. Scott;6
Appa Rao Korukonda;8
Jonathan Katz;89
