author;id_publication
Christoph W. Keßler;tr/trier/MI96-12
Kasyap Natarajan;tr/trier/MI92-27
Hubertus Th. Jongen;tr/trier/MI95-06
Oliver Stein;tr/trier/MI95-06
Reiner Horst;tr/trier/MI93-11
Le Dung Muu;tr/trier/MI93-11
M. Nast;tr/trier/MI93-11
Lothar Breuer;tr/trier/MI02-19
Manfred Laumen;tr/trier/MI96-15
Hannes Frey;tr/trier/MI04-01
Johannes K. Lehnert;tr/trier/MI04-01
Daniel Görgen;tr/trier/MI04-01
Peter Sturm 0001;tr/trier/MI04-01
Klaus Jansen;tr/trier/MI96-41
Patrick Reuther;tr/trier/MI06-01
Reiner Horst;tr/trier/MI96-03
Nguyen V. Thoai;tr/trier/MI96-03
E. Levitin;tr/trier/MI96-35
Jürgen Huschens;tr/trier/MI92-20
Marco Fahl;tr/trier/MI99-13
Andreas Neumann 0001;tr/trier/MI97-05
Nguyen V. Thoai;tr/trier/MI94-09
Randal E. Bryant;tr/trier/MI02-20
Christoph Meinel;tr/trier/MI02-20
Subhendu Bikash Hazra;tr/trier/MI02-23
Volker Schulz 0001;tr/trier/MI02-23
Harald Sack;tr/trier/MI99-27
Elena Dubrova;tr/trier/MI99-27
Christoph Meinel;tr/trier/MI99-27
Horst Schmitt;tr/trier/MI98-05
Dieter Baum;tr/trier/MI95-04
Christoph Meinel;tr/trier/MI98-23
Christian Stangier;tr/trier/MI98-23
Dieter Baum;tr/trier/MI01-03
Peter Gritzmann;tr/trier/MI93-14
Victor Klee;tr/trier/MI93-14
Christoph Meinel;tr/trier/MI97-27
Anna Slobodová;tr/trier/MI97-27
Peter Willems;tr/trier/MI97-27
Dieter Baum;tr/trier/MI01-13
Igor N. Kovalenko;tr/trier/MI01-13
R. J. Gardner;tr/trier/MI96-24
Peter Gritzmann;tr/trier/MI96-24
Dieter Prangenberg;tr/trier/MI96-24
Peter Gritzmann;tr/trier/MI93-18
Victor Klee;tr/trier/MI93-18
Reiner Horst;tr/trier/MI96-01
M. Nast;tr/trier/MI96-01
János Sztrik;tr/trier/MI99-06
Oliver Möller;tr/trier/MI99-06
Ulrich Hertrampf;tr/trier/MI93-16
Christoph Meinel;tr/trier/MI01-09
Harald Sack;tr/trier/MI01-09
Arno Wagner;tr/trier/MI01-09
Lothar Breuer;tr/trier/MI98-10
Richard Rödler;tr/trier/MI98-16
Christoph Meinel;tr/trier/MI03-04
Volker Schillings;tr/trier/MI03-04
Thomas Burger;tr/trier/MI95-14
Peter Gritzmann;tr/trier/MI95-14
Victor Klee;tr/trier/MI95-14
Alexander Kaplan;tr/trier/MI95-18
Rainer Tichatschke;tr/trier/MI95-18
Jochen Bern;tr/trier/MI94-03
Christoph Meinel;tr/trier/MI94-03
Anna Slobodová;tr/trier/MI94-03
Helmut Seidl;tr/trier/MI97-13
Christian Fecht;tr/trier/MI97-13
Heidi Jäger;tr/trier/MI95-20
Ekkehard W. Sachs;tr/trier/MI95-20
Thomas Erlebach;tr/trier/MI96-19
Klaus Jansen;tr/trier/MI96-19
Friedemann Leibfritz;tr/trier/MI99-02
R. J. Gardner;tr/trier/MI95-13
Peter Gritzmann;tr/trier/MI95-13
Lothar Breuer;tr/trier/MI00-07
Klaus Lux;tr/trier/MI96-30
Markus Wiegelmann;tr/trier/MI96-30
Peter Gritzmann;tr/trier/MI92-06
Bernd Sturmfels;tr/trier/MI92-06
Flemming Nielson;tr/trier/MI01-12
Helmut Seidl;tr/trier/MI01-12
Alexander Kaplan;tr/trier/MI01-20
Rainer Tichatschke;tr/trier/MI01-20
Thomas Erlebach;tr/trier/MI97-03
Klaus Jansen;tr/trier/MI97-03
Dieter Baum;tr/trier/MI01-19
Gurami Tsitsiashvili;tr/trier/MI01-19
Christoph Meinel;tr/trier/MI98-27
Arno Wagner;tr/trier/MI98-27
Reiner Horst;tr/trier/MI93-23
Nguyen V. Thoai;tr/trier/MI93-23
Patrick Justen;tr/trier/MI98-19
Christoph Meinel;tr/trier/MI98-24
Klaus Schwettmann;tr/trier/MI98-24
Anna Slobodová;tr/trier/MI98-24
Reiner Horst;tr/trier/MI96-39
Ulrich Raber;tr/trier/MI96-39
Christoph Meinel;tr/trier/MI96-42
Fabio Somenzi;tr/trier/MI96-42
Thorsten Theobald;tr/trier/MI96-42
E. Levitin;tr/trier/MI96-34
Rainer Tichatschke;tr/trier/MI96-34
Klaus Jansen;tr/trier/MI97-01
Abdelouahed Hamdi;tr/trier/MI98-32
Carsten Damm;tr/trier/MI99-20
Attahiru Sule Alfa;tr/trier/MI02-07
Lothar Breuer;tr/trier/MI02-07
Matthias Heinkenschloss;tr/trier/MI92-16
Jürgen Huschens;tr/trier/MI92-22
Thorsten Theobald;tr/trier/MI96-04
Christoph Meinel;tr/trier/MI96-04
Siegfried Graf;tr/trier/MI02-05
Harald Luschgy;tr/trier/MI02-05
Jens Hofmann 0001;tr/trier/MI96-46
Norbert Th. Müller;tr/trier/MI96-46
Kasyap Natarajan;tr/trier/MI96-46
Kasyap Natarajan;tr/trier/MI93-10
Hubertus Th. Jongen;tr/trier/MI95-24
Jan-J. Rückmann;tr/trier/MI95-24
Oliver Stein;tr/trier/MI95-24
Horst Schmitt;tr/trier/MI97-20
Klaus Jansen;tr/trier/MI92-14
Volker Klotz;tr/trier/MI04-05
Christoph Meinel;tr/trier/MI04-05
